eventid,date,1st,2nd,3rd,4th,5th,joker
2010,18/4/2019,21,40.0,39.0,41.0,35.0,14
2009,14/4/2019,14,6.0,41.0,28.0,25.0,14
2008,11/4/2019,28,35.0,40.0,13.0,16.0,20
2007,7/4/2019,11,6.0,12.0,39.0,8.0,10
2006,4/4/2019,2,9.0,40.0,26.0,28.0,6
2005,31/3/2019,37,20.0,14.0,19.0,42.0,1
2004,28/3/2019,16,38.0,12.0,24.0,23.0,18
2003,24/3/2019,16,26.0,25.0,21.0,18.0,9
2002,21/3/2019,26,41.0,38.0,37.0,45.0,9
2001,17/3/2019,39,3.0,22.0,17.0,1.0,12
2000,14/3/2019,21,29.0,32.0,2.0,19.0,19
1999,10/3/2019,41,39.0,30.0,38.0,7.0,3
1998,7/3/2019,32,26.0,22.0,25.0,13.0,1
1997,3/3/2019,34,20.0,39.0,30.0,8.0,20
1996,28/2/2019,25,14.0,10.0,36.0,34.0,10
1995,24/2/2019,43,28.0,45.0,30.0,1.0,20
1994,21/2/2019,17,5.0,10.0,32.0,19.0,3
1993,17/2/2019,30,38.0,26.0,10.0,27.0,11
1992,14/2/2019,36,7.0,14.0,33.0,2.0,20
1991,10/2/2019,7,15.0,42.0,13.0,41.0,7
1990,7/2/2019,34,27.0,13.0,17.0,6.0,13
1989,3/2/2019,5,28.0,39.0,3.0,18.0,9
1988,31/1/2019,1,34.0,14.0,44.0,26.0,4
1987,27/1/2019,21,2.0,5.0,28.0,9.0,15
1986,24/1/2019,16,10.0,29.0,30.0,31.0,7
1985,20/1/2019,16,40.0,31.0,33.0,15.0,15
1984,17/1/2019,10,23.0,20.0,29.0,44.0,8
1983,13/1/2019,33,29.0,6.0,27.0,30.0,12
1982,10/1/2019,29,37.0,43.0,5.0,8.0,11
1981,6/1/2019,2,28.0,41.0,26.0,1.0,15
1980,3/1/2019,45,23.0,36.0,15.0,12.0,5
1979,30/12/2018,11,27.0,16.0,33.0,14.0,8
1978,27/12/2018,32,3.0,42.0,26.0,12.0,7
1977,23/12/2018,3,23.0,5.0,1.0,24.0,15
1976,20/12/2018,30,24.0,15.0,14.0,31.0,14
1975,16/12/2018,18,21.0,38.0,1.0,14.0,4
1974,13/12/2018,22,17.0,42.0,36.0,39.0,1
1973,9/12/2018,7,28.0,25.0,4.0,35.0,20
1972,6/12/2018,30,35.0,42.0,5.0,4.0,10
